K,Fine(K)
585,105074364
586,107041359
587,107041359
588,109433481
589,109437697
590,111533249
591,111785623
592,113974235
593,113974235
594,116399033
595,116466687
596,118722829
597,118988411
598,121189429
599,121189429
600,123905511
601,123905511
602,126209138
603,126500545
604,128922383
605,128981309
606,131648339
607,131648339
608,134178969
609,134493980
610,136998802
611,137005342
612,139957516
613,139957516
614,142491702
615,142859946
616,145600219
617,145600219
618,148565581
619,148565581
620,151426561
621,151766817
622,154481016
623,154500924
624,157781194
625,157844453
626,160662775
627,161015832
628,164002806
629,164008510
630,167421481
631,167421481
632,170533057
633,170890020
634,173905081
635,173968083
636,177568344
637,177598266
638,180732981
639,181121163
640,184530632
641,184530632
642,188174244
643,188174244
644,191637938
645,192101558
646,195449454
647,195449454
648,199472235
649,199482411
650,203040293
651,203481314
652,207147635
653,207147635
654,211172826
655,211244976
656,215058651
657,215504022
658,219229770
659,219229770
660,223744891
661,223744891
662,227571302
663,228036707
664,232102272
665,232212295
666,236682798
667,236688466
668,240874849
669,241345776
670,245515022
671,245526894
672,250446846
673,250446846
674,254674237
675,255282396
676,259764676
677,259764676
678,264664989
679,264693870
680,269443394
681,269958384
682,274481398
683,274481398
684,279858148
685,279947058
686,284641242
687,285181599
688,290130609
689,290140929
690,295662504
691,295662504
692,300753069
693,301388367
694,306345386
695,306440270
696,312342859
697,312350771
698,317478342
699,318067803
700,323649189
701,323649189
702,329630656
703,329638344
704,335285922
705,336012812
706,341473378
707,341507695
708,347964771
709,347964771
710,353723436
711,354389790
712,360363969
713,360371041
714,366953043
715,367087601
716,373231827
717,373901948
718,379889314
719,379889314
720,387181785
721,387219039
722,393427146
723,394131011
724,400665580
725,400789513
726,407961341
727,407961341
728,414796810
729,415561389
730,422282505
731,422291843
732,430057397
733,430057397
734,436848960
735,437794642
736,444995542
737,445012518
738,452883300
739,452883300
740,460426615
741,461247008
742,468509342
743,468509342
744,477038433
745,477169353
746,484615077
747,485473944
748,493346848
749,493390567
750,502133653
751,502133653
752,510258240
753,511123344
754,519041466
755,519181310
756,528577748
757,528577748
758,536720171
759,537653446
760,546440331
761,546440331
762,555817536
763,555865377
764,564705975
765,565848616
766,574472943
767,574488207
768,584672769
769,584672769
770,593844566
771,594825588
772,604195464
773,604195464
774,614464420
775,614631738
776,624314471
777,625398024
778,634823149
779,634833813
780,646121567
781,646142615
782,655879493
783,656987803
784,667327086
785,667495738
786,678657842
787,678657842
788,689183464
789,690288619
790,700763023
791,700818961
792,712987965
793,713005773
794,723609636
795,724955258
796,736090285
797,736090285
798,748328865
799,748341400
800,760090257
801,761326151
802,772542730
803,772566650
804,785685811
805,785945538
806,797515544
807,798761520
808,810922579
809,810922579
810,824445449
811,824445449
812,837020378
813,838319165
814,850553803
815,850754713
816,865090333
817,865102919
818,877673737
819,879161385
820,892600861
821,892600861
822,906980409
823,906980409
824,920596286
825,922262566
826,935617056
827,935617056
828,951169367
829,951169367
830,965074273
831,966534915
832,980957888
833,981042634
834,996662822
835,996887120
836,1011683314
837,1013251696
838,1027658685
839,1027658685
840,1044927482
841,1044939363
842,1059791001
843,1061365331
844,1076930895
845,1077192839
846,1094193260
847,1094299025
848,1110363786
849,1111998493
850,1127962958
851,1127975854
852,1146204357
853,1146204357
854,1162398567
855,1164427893
856,1181350657
857,1181350657
858,1199800434
859,1199800434
860,1217457355
861,1219311095
862,1236277202
863,1236277202
864,1256170881
865,1256437973
866,1273899760
867,1275748776
868,1294151840
869,1294184344
870,1314419290
871,1314444754
872,1333298639
873,1335249583
874,1353673934
875,1354057828
876,1375422169
877,1375422169
878,1394312948
879,1396279943
880,1416533779
881,1416533779
882,1438270402
883,1438270402
884,1458679582
885,1461040576
886,1480944225
887,1480944225
888,1504116439
889,1504210942
890,1525026325
891,1527253043
892,1548670016
893,1548686911
894,1571954559
895,1572268279
896,1594469185
897,1596703055
898,1618234805
899,1618249629
900,1643717327
901,1643737107
902,1665915787
903,1668315104
904,1691527702
905,1691861852
906,1717013928
907,1717013928
908,1740774146
909,1743194696
910,1767008920
911,1767008920
912,1794076445
913,1794116061
914,1818026991
915,1820843787
916,1845835431
917,1845943656
918,1873191287
919,1873191287
920,1899354175
921,1901888361
922,1927021546
923,1927053118
924,1956346752
925,1956734752
926,1982528850
927,1985222388
928,2012294742
929,2012294742
930,2042050016
931,2042187096
932,2069872232
933,2072586431
934,2099682106
935,2100140126
936,2131689339
937,2131689339
938,2159669724
939,2162488046
940,2192037030
941,2192037030
942,2223583190
943,2223601078
944,2253534249
945,2257117609
946,2286410350
947,2286410350
948,2320148826
949,2320184706
950,2350677484
951,2353692545
952,2385291059
953,2385291059
954,2419372412
955,2419804954
956,2451930932
957,2455117149
958,2486573006
959,2486706371
960,2523686323
961,2523704819
962,2556075845
963,2559388149
964,2593112921
965,2593570375
966,2630325493
967,2630325493
968,2665058106
969,2668444004
970,2702863633
971,2702863633
972,2742040056
973,2742182382
974,2776932700
975,2780962422
976,2817344005
977,2817344005
978,2856654326
979,2856707414
980,2894664100
981,2898325648
982,2934767535
983,2934767535
984,2976836937
985,2977341685
986,3014768916
987,3018637957
988,3057703317
989,3057724429
990,3100770132
991,3100770132
992,3140883703
993,3144710114
994,3184090825
995,3184621989
996,3229683372
997,3229683372
998,3269830227
999,3273898817
1000,3316527416
1001,3316791733
1002,3362158794
1003,3362188050
1004,3405098936
1005,3409766594
1006,3451812376
1007,3451839036
1008,3500690574
1009,3500690574
1010,3544475905
1011,3548703296
1012,3593778849
1013,3593778849
1014,3642501705
1015,3643281832
1016,3689442225
1017,3693902132
1018,3739061875
1019,3739061875
1020,3791689679
1021,3791689679
1022,3838177741
1023,3842768827
1024,3891155638
1025,3891797530
1026,3944177930
1027,3944226686
1028,3993621825
1029,3998489711
1030,4047621328
1031,4047621328
1032,4103324062
1033,4103324062
1034,4153053259
1035,4158680141
1036,4210620950
1037,4210655082
1038,4266553502
1039,4266553502
1040,4320476341
1041,4325433360
1042,4377378676
1043,4377575056
1044,4437259234
1045,4438037102
1046,4491206733
1047,4496334304
1048,4551822470
1049,4551822470
1050,4612841231
1051,4612841231
1052,4669546502
1053,4675034831
1054,4730695327
1055,4731409253
1056,4795406912
1057,4795616678
1058,4852611769
1059,4858072335
1060,4918209128
1061,4918209128
1062,4982445697
1063,4982445697
1064,5043588784
1065,5050013592
1066,5109663613
1067,5109740629
1068,5177873253
1069,5177873253
1070,5239675714
1071,5245912042
1072,5309526335
1073,5309553367
1074,5378110782
1075,5378919620
1076,5443824761
1077,5449812127
1078,5513861797
1079,5513921221
1080,5588089934
1081,5588118274
1082,5653359610
1083,5659595121
1084,5727434031
1085,5728519332
1086,5801761099
1087,5801761099
1088,5871394571
1089,5878025263
1090,5947083794
1091,5947083794
1092,6025352172
1093,6025352172
1094,6095050772
1095,6102537248
1096,6175168137
1097,6175168137
1098,6253621020
1099,6253873998
1100,6329181725
